customer_id,age,gender,registration_date,behavior_type
184,47,F,2023-10-31,Occasional
185,36,M,2023-02-12,Occasional
186,50,M,2023-08-25,Regular
187,47,F,2023-07-14,Regular
188,38,F,2023-06-17,Regular
189,27,F,2023-05-23,Occasional
190,18,F,2023-05-10,Occasional
191,33,F,2023-01-10,Occasional
192,52,M,2023-06-29,Regular
193,43,M,2023-11-30,High_Value
194,21,M,2023-05-07,Regular
195,42,M,2023-11-15,Regular
196,45,M,2023-08-31,Occasional
197,26,M,2023-08-27,Occasional
198,42,F,2023-03-27,Occasional
199,40,M,2023-03-25,Bargain_Hunter
200,22,M,2023-10-24,High_Value
201,45,F,2023-10-22,Occasional
202,48,F,2023-07-23,Bargain_Hunter
203,56,M,2023-02-08,Occasional
204,55,M,2023-02-22,Occasional
205,19,F,2023-12-17,Occasional
206,25,M,2023-10-17,Occasional
207,47,F,2023-09-30,Regular
208,47,F,2023-02-05,Occasional
209,47,F,2023-01-07,Occasional
210,80,F,2023-02-24,Regular
211,48,F,2023-11-22,Bargain_Hunter
212,57,F,2023-12-29,Regular
213,54,M,2023-09-25,Bargain_Hunter
214,49,F,2023-11-12,Occasional
215,35,F,2023-08-27,Regular
216,51,F,2023-06-15,Bargain_Hunter
217,28,M,2023-05-23,Bargain_Hunter
218,36,M,2023-08-26,Occasional
219,32,F,2023-06-22,High_Value
220,41,F,2023-04-04,Regular
221,74,F,2023-05-13,Regular
222,18,F,2023-10-12,High_Value
223,50,M,2023-02-13,Regular
224,18,F,2023-09-08,Occasional
225,32,M,2023-12-20,Regular
226,56,F,2023-08-18,Occasional
227,40,M,2023-05-31,Regular
228,23,M,2023-06-06,Occasional
229,29,F,2023-08-31,Occasional
230,50,F,2023-08-06,Bargain_Hunter
231,29,F,2023-06-30,Occasional
232,43,F,2023-06-06,Regular
233,40,M,2023-04-09,Regular
234,30,M,2023-04-09,Regular
235,72,F,2023-05-22,Occasional
236,49,F,2023-02-21,Occasional
237,18,F,2023-04-27,Regular
238,42,F,2023-01-08,Occasional
239,30,M,2023-05-21,High_Value
240,52,M,2023-10-11,Regular
241,28,M,2023-11-23,Bargain_Hunter
242,38,F,2023-02-22,Bargain_Hunter
243,47,F,2023-08-29,Regular
244,52,F,2023-04-05,Bargain_Hunter
245,21,F,2023-09-02,High_Value
246,34,M,2023-07-25,Regular
247,32,M,2023-03-19,High_Value
248,30,F,2023-02-13,Bargain_Hunter
249,66,M,2023-10-13,Occasional
250,46,M,2023-09-25,Regular
251,21,F,2023-06-02,Bargain_Hunter
252,53,F,2023-06-06,Occasional
253,71,M,2023-11-09,Bargain_Hunter
254,55,M,2023-04-17,Occasional
255,18,F,2023-12-05,High_Value
256,32,M,2023-03-30,Occasional
257,59,M,2023-01-02,Regular
258,29,F,2023-05-30,High_Value
259,46,F,2023-12-28,Regular
260,51,F,2023-02-06,Occasional
261,26,F,2023-11-17,Occasional
262,39,M,2023-08-06,High_Value
263,18,M,2023-11-28,High_Value
264,24,F,2023-03-14,High_Value
265,36,M,2023-06-07,Occasional
266,21,F,2023-08-13,High_Value
267,64,F,2023-12-25,Regular
268,18,F,2023-09-14,Occasional
269,33,F,2023-02-11,Occasional
270,41,F,2023-06-15,Occasional
271,61,M,2023-02-16,Regular
272,18,M,2023-12-11,Occasional
273,57,M,2023-03-31,Regular
274,40,F,2023-05-23,Regular
275,25,F,2023-11-22,Occasional
276,46,M,2023-08-29,Regular
277,42,F,2023-06-14,Occasional
278,30,M,2023-06-18,Regular
279,41,F,2023-05-28,Occasional
280,34,F,2023-10-09,High_Value
281,41,M,2023-06-11,Regular
282,49,M,2023-07-26,Bargain_Hunter
283,63,M,2023-12-03,Bargain_Hunter
284,21,F,2023-07-31,High_Value
285,71,F,2023-11-15,Occasional
286,18,F,2023-01-27,Regular
287,37,M,2023-05-28,Regular
288,48,F,2023-03-04,High_Value
289,44,M,2023-12-30,Regular
290,30,M,2023-10-10,Regular
291,36,M,2023-02-28,Regular
292,32,M,2023-11-28,Occasional
293,31,F,2023-05-30,Occasional
294,52,F,2023-08-01,Occasional
295,45,F,2023-05-05,Regular
296,29,M,2023-07-16,Regular
297,53,M,2023-02-05,Regular
298,44,F,2023-06-24,Bargain_Hunter
299,52,F,2023-01-02,Regular
300,49,F,2023-10-28,Occasional
301,27,F,2023-03-18,Regular
302,31,F,2023-06-26,Regular
303,51,F,2023-08-22,Bargain_Hunter
304,49,M,2023-12-24,Regular
305,39,F,2023-04-30,Bargain_Hunter
306,41,F,2023-01-23,Regular
307,59,F,2023-12-28,Bargain_Hunter
308,31,F,2023-07-17,Bargain_Hunter
309,48,M,2023-09-11,Bargain_Hunter
310,36,M,2023-09-15,Bargain_Hunter
311,36,F,2023-02-21,Bargain_Hunter
312,56,F,2023-02-21,Occasional
313,52,F,2023-01-08,Occasional
314,52,F,2023-12-02,Bargain_Hunter
315,59,M,2023-08-29,Occasional
316,40,F,2023-06-23,Occasional
317,50,F,2023-11-29,High_Value
318,35,F,2023-12-12,Bargain_Hunter
319,44,F,2023-06-12,Occasional
320,38,F,2023-10-05,High_Value
321,41,M,2023-05-01,Occasional
322,48,F,2023-04-27,Occasional
323,27,F,2023-02-20,Occasional
324,71,M,2023-08-16,Regular
325,24,F,2023-01-15,High_Value
326,21,M,2023-05-31,Regular
327,57,F,2023-03-16,Regular
328,51,F,2023-10-17,Occasional
329,49,M,2023-03-29,Regular
330,49,F,2023-11-14,Occasional
331,39,F,2023-10-26,High_Value
332,26,F,2023-11-23,Regular
333,41,F,2023-12-08,High_Value
334,29,F,2023-05-28,Occasional
335,54,M,2023-02-07,Regular
336,37,F,2023-10-28,Regular
337,27,F,2023-12-20,Regular
338,35,F,2023-04-12,Bargain_Hunter
339,46,F,2023-02-24,Regular
340,31,F,2023-10-22,Regular
341,27,F,2023-01-12,Bargain_Hunter
342,43,F,2023-05-21,High_Value
343,43,M,2023-11-07,Occasional
344,32,F,2023-04-28,Occasional
345,32,F,2023-04-23,Occasional
346,43,F,2023-12-14,Occasional
347,18,M,2023-11-18,High_Value
348,18,M,2023-06-08,Occasional
349,29,M,2023-10-24,Regular
350,36,M,2023-02-16,Bargain_Hunter
351,44,F,2023-08-01,Regular
352,62,M,2023-10-04,Bargain_Hunter
353,52,F,2023-09-29,Occasional
354,37,F,2023-03-26,Regular
355,39,F,2023-06-01,Occasional
356,24,F,2023-02-28,Regular
357,39,M,2023-03-14,Occasional
358,35,M,2023-12-13,Occasional
359,44,F,2023-10-13,Regular
360,27,F,2023-01-08,Regular
361,47,M,2023-08-21,Regular
362,62,F,2023-10-27,Regular
363,38,F,2023-02-25,Occasional
364,46,F,2023-01-13,Occasional
365,50,F,2023-11-09,Regular
366,33,M,2023-11-22,Occasional
367,43,F,2023-11-29,Regular
368,40,M,2023-01-24,Bargain_Hunter
369,41,F,2023-09-10,High_Value
370,28,M,2023-10-03,High_Value
371,40,F,2023-07-09,Occasional
372,47,F,2023-10-28,Occasional
373,61,M,2023-08-01,Occasional
374,54,F,2023-11-12,Regular
375,72,F,2023-01-17,Occasional
376,28,M,2023-08-16,Regular
377,53,M,2023-07-05,High_Value
378,42,F,2023-10-06,Bargain_Hunter
379,72,F,2023-02-01,Regular
380,27,M,2023-03-04,Bargain_Hunter
381,27,F,2023-02-16,Occasional
382,31,M,2023-01-26,Occasional
383,18,M,2023-03-06,Occasional
384,32,M,2023-02-05,Occasional
385,28,M,2023-10-28,Regular
386,42,M,2023-06-18,Occasional
387,45,M,2023-05-22,Bargain_Hunter
388,68,M,2023-03-08,Occasional
389,54,M,2023-02-26,Occasional
390,31,M,2023-03-09,High_Value
391,26,M,2023-10-29,Regular
392,47,M,2023-05-16,High_Value
393,20,F,2023-09-27,High_Value
394,67,M,2023-09-01,Regular
395,57,F,2023-09-20,Occasional
396,32,F,2023-09-15,Regular
397,18,M,2023-12-04,Occasional
398,60,F,2023-11-26,Bargain_Hunter
399,38,M,2023-09-03,Occasional
400,58,F,2023-12-18,High_Value
401,18,F,2023-02-07,Bargain_Hunter
402,31,F,2023-11-08,High_Value
403,40,M,2023-05-21,Occasional
404,40,F,2023-07-15,Bargain_Hunter
405,33,F,2023-08-21,Occasional
406,49,F,2023-02-20,Occasional
407,23,M,2023-12-02,Occasional
408,37,M,2023-08-09,Regular
409,41,M,2023-07-31,Regular
410,47,F,2023-07-24,Regular
411,50,M,2023-06-10,Regular
412,23,F,2023-07-11,Bargain_Hunter
413,18,F,2023-02-04,High_Value
414,59,M,2023-02-17,Regular
415,44,F,2023-03-08,Occasional
416,28,F,2023-12-10,High_Value
417,63,F,2023-12-07,Bargain_Hunter
418,41,F,2023-01-27,Bargain_Hunter
419,57,F,2023-06-30,High_Value
420,41,M,2023-03-21,Occasional
421,70,M,2023-02-25,Regular
422,66,F,2023-02-28,Occasional
423,36,M,2023-08-08,Occasional
424,54,M,2023-11-08,Bargain_Hunter
425,49,F,2023-01-15,Regular
426,60,F,2023-06-23,Regular
427,25,M,2023-03-15,Occasional
428,50,F,2023-02-05,High_Value
429,55,M,2023-02-16,Occasional
430,18,M,2023-07-12,Regular
431,22,F,2023-03-22,Regular
432,18,F,2023-10-18,Occasional
433,35,M,2023-03-21,Regular
434,50,M,2023-12-12,High_Value
435,62,F,2023-12-05,Regular
436,41,F,2023-08-01,Regular
437,64,M,2023-06-26,Regular
438,19,F,2023-12-14,Occasional
439,18,F,2023-09-27,Occasional
440,39,M,2023-04-23,Regular
441,45,M,2023-01-04,Regular
442,39,M,2023-03-12,Occasional
443,18,F,2023-06-17,High_Value
444,38,F,2023-08-09,Regular
445,20,F,2023-09-30,Occasional
446,50,F,2023-02-06,Regular
447,45,M,2023-08-12,High_Value
448,25,M,2023-06-10,Occasional
449,32,F,2023-12-30,Occasional
450,24,F,2023-02-28,Regular
451,39,F,2023-03-29,Occasional
452,54,F,2023-12-20,Bargain_Hunter
453,25,M,2023-08-12,Occasional
454,47,M,2023-08-12,Occasional
455,32,M,2023-07-22,Bargain_Hunter
456,28,F,2023-04-24,Regular
457,38,M,2023-02-09,Occasional
458,24,M,2023-09-29,Occasional
459,31,F,2023-06-29,Occasional
460,22,M,2023-05-01,High_Value
461,69,F,2023-04-12,Regular
462,40,M,2023-12-02,High_Value
463,29,F,2023-08-26,Occasional
464,43,F,2023-12-15,Bargain_Hunter
465,38,F,2023-11-18,Regular
466,36,F,2023-02-04,Regular
467,49,F,2023-05-21,Occasional
468,51,F,2023-09-17,High_Value
469,32,F,2023-08-20,High_Value
470,31,F,2023-05-27,High_Value
471,35,M,2023-11-11,Occasional
472,18,F,2023-08-25,Occasional
473,18,M,2023-08-19,Bargain_Hunter
474,60,M,2023-06-14,Occasional
475,64,M,2023-02-01,Regular
476,36,F,2024-01-01,High_Value
477,48,M,2023-01-21,Regular
478,44,F,2023-08-13,Occasional
479,80,M,2023-07-06,Regular
480,56,F,2023-07-18,Regular
481,38,F,2023-12-14,Occasional
482,25,F,2023-02-03,Regular
483,18,F,2023-05-26,Regular
484,43,M,2023-06-20,High_Value
485,28,M,2023-06-29,Regular
486,18,F,2023-03-08,Occasional
487,30,M,2023-06-08,Occasional
488,23,F,2023-03-07,Occasional
489,65,M,2023-11-27,Occasional
490,53,F,2023-01-10,Regular
491,39,M,2023-04-20,Regular
492,62,F,2023-04-09,Regular
493,41,M,2023-03-21,High_Value
494,27,M,2023-09-17,Occasional
495,62,M,2023-12-05,Regular
496,48,M,2023-11-02,Regular
497,24,M,2023-04-03,Occasional
498,37,M,2023-08-13,High_Value
499,26,F,2023-12-13,Occasional
500,19,F,2023-11-09,Regular
501,53,F,2023-04-30,Occasional
502,68,F,2023-08-29,Bargain_Hunter
503,19,M,2023-07-08,Occasional
504,48,F,2023-08-25,Occasional
505,30,F,2023-09-15,Occasional
506,32,M,2023-04-13,Occasional
507,31,M,2023-05-09,High_Value
508,27,F,2023-07-10,Occasional
509,40,M,2023-12-31,Occasional
510,27,M,2023-05-26,High_Value
511,44,M,2023-05-20,Regular
512,39,M,2023-08-12,High_Value
513,36,M,2023-08-19,Bargain_Hunter
514,26,M,2023-08-01,High_Value
515,31,F,2023-05-01,Regular
516,51,M,2023-07-11,Regular
517,47,F,2023-02-20,Occasional
518,25,F,2023-03-16,High_Value
519,41,F,2023-08-30,Occasional
520,51,M,2023-12-28,Regular
521,18,M,2023-02-10,High_Value
522,48,M,2023-03-18,Occasional
523,30,F,2023-02-26,Occasional
524,48,M,2023-06-04,High_Value
525,28,M,2023-08-03,Occasional
526,18,F,2023-02-02,High_Value
527,18,F,2023-11-02,Occasional
528,40,M,2023-03-15,Regular
529,43,M,2023-11-11,Regular
530,26,F,2023-04-06,Occasional
531,49,M,2023-09-26,Bargain_Hunter
532,18,M,2023-09-27,Occasional
533,39,M,2023-07-19,Bargain_Hunter
534,21,M,2023-11-22,Regular
535,30,F,2023-05-10,Occasional
536,40,F,2023-02-04,Regular
537,27,M,2023-10-25,Occasional
538,34,F,2023-03-10,High_Value
539,55,F,2023-11-26,Regular
540,31,F,2023-12-23,Regular
541,52,M,2023-03-11,High_Value
542,23,F,2023-01-19,Regular
543,47,M,2023-04-13,Bargain_Hunter
544,61,F,2023-06-08,Occasional
545,18,F,2023-05-10,High_Value
546,28,M,2023-05-27,Regular
547,48,M,2023-12-02,Regular
548,36,M,2023-07-08,Regular
549,45,F,2023-08-14,Bargain_Hunter
550,30,F,2023-06-23,Bargain_Hunter
551,41,F,2023-12-21,Regular
552,37,F,2023-02-12,Occasional
553,57,M,2023-08-09,Occasional
554,43,M,2023-10-07,Regular
555,45,M,2023-02-10,Regular
556,33,F,2023-06-06,Regular
557,32,F,2023-03-27,Occasional
558,33,F,2023-08-17,High_Value
559,45,F,2023-11-11,Bargain_Hunter
560,33,F,2023-11-24,Bargain_Hunter
561,44,M,2023-02-08,Occasional
562,71,F,2023-07-06,Occasional
563,53,M,2023-01-16,High_Value
564,35,F,2023-01-18,High_Value
565,58,M,2023-11-27,Regular
566,33,F,2023-10-18,High_Value
567,18,M,2023-12-14,Regular
568,24,F,2023-07-10,Regular
569,18,M,2023-10-21,High_Value
570,34,F,2023-07-23,Regular
571,40,F,2023-05-08,Bargain_Hunter
572,65,M,2023-04-06,Regular
573,44,F,2023-10-15,High_Value
574,36,F,2023-12-27,Regular
575,52,F,2023-12-22,Bargain_Hunter
576,18,F,2023-04-13,High_Value
577,43,M,2023-08-20,Regular
578,51,F,2023-02-14,Occasional
579,18,F,2023-12-08,Regular
580,57,M,2023-10-09,Occasional
581,45,F,2023-03-22,Occasional
582,33,M,2023-07-05,Occasional
583,49,M,2023-04-13,Occasional
584,74,M,2023-09-10,High_Value
585,42,F,2023-08-28,Occasional
586,43,M,2023-11-10,Bargain_Hunter
587,33,M,2023-06-08,Regular
588,27,F,2023-09-27,Regular
589,52,F,2023-10-22,High_Value
590,27,F,2023-11-25,High_Value
591,41,F,2023-12-15,Occasional
592,32,M,2023-10-10,Occasional
593,47,M,2023-03-08,Regular
594,45,M,2023-03-05,Occasional
595,55,F,2023-03-26,Regular
596,32,M,2023-06-27,Bargain_Hunter
597,35,F,2023-02-10,Regular
598,25,F,2023-03-06,Occasional
599,33,M,2023-09-15,Occasional
600,45,M,2023-03-29,Occasional
601,51,F,2023-10-16,High_Value
602,26,M,2023-02-11,High_Value
603,53,F,2023-11-30,Regular
604,60,F,2023-11-13,Occasional
605,46,F,2023-11-18,Occasional
606,68,F,2023-09-05,Regular
607,28,F,2023-06-02,Regular
608,21,M,2023-03-22,Regular
609,18,F,2023-08-26,Regular
610,62,M,2023-06-10,Bargain_Hunter
611,49,F,2023-06-26,Bargain_Hunter
612,39,M,2023-07-09,Occasional
613,44,M,2023-06-13,Regular
614,23,M,2023-05-17,Regular
615,76,M,2023-02-19,High_Value
616,41,F,2023-11-12,Regular
617,41,M,2023-06-17,Bargain_Hunter
618,50,F,2023-04-08,Occasional
619,47,F,2023-09-21,Regular
620,43,F,2023-09-12,High_Value
621,28,F,2023-09-16,Regular
622,47,M,2023-04-21,Occasional
623,68,M,2023-01-26,Regular
624,60,F,2023-05-27,Occasional
625,63,M,2023-08-09,High_Value
626,32,F,2023-07-07,Occasional
627,25,F,2023-01-24,Regular
628,38,M,2023-07-05,Occasional
629,40,M,2023-07-17,Occasional
630,56,F,2023-11-16,Occasional
631,18,M,2023-03-07,Bargain_Hunter
632,62,F,2023-07-11,Occasional
633,37,F,2023-10-13,Bargain_Hunter
634,33,M,2023-04-12,Occasional
635,24,F,2023-09-14,High_Value
636,18,M,2023-03-12,Occasional
637,52,F,2023-09-23,Regular
638,41,M,2023-06-17,Bargain_Hunter
639,20,F,2023-03-25,Regular
640,20,F,2023-10-31,Regular
641,34,F,2023-12-29,Occasional
642,65,F,2023-01-09,Regular
643,36,M,2023-08-02,Occasional
644,18,M,2023-11-02,Regular
645,36,M,2023-01-27,Occasional
646,35,M,2023-09-26,Occasional
647,18,F,2023-03-17,Occasional
648,39,M,2023-01-17,Occasional
649,36,M,2023-04-08,High_Value
650,50,F,2023-08-03,Regular
651,67,M,2023-07-30,Occasional
652,56,F,2023-02-01,Occasional
653,35,M,2023-10-15,Regular
654,23,F,2023-09-27,Regular
655,78,M,2023-08-24,Bargain_Hunter
656,40,F,2023-10-07,Regular
657,40,F,2023-11-09,Regular
658,39,M,2023-05-23,Occasional
659,42,M,2023-06-02,Occasional
660,37,M,2023-12-20,Occasional
661,31,F,2023-09-03,Regular
662,31,F,2023-05-28,High_Value
663,39,F,2023-07-22,Occasional
664,31,M,2023-05-29,High_Value
665,29,M,2023-06-27,Bargain_Hunter
666,41,F,2023-09-03,Regular
667,36,F,2023-10-15,Occasional
668,62,M,2023-02-25,Occasional
669,18,M,2023-05-05,High_Value
670,56,M,2023-11-23,Regular
671,58,M,2023-07-31,Regular
672,18,F,2023-02-21,Occasional
673,34,M,2023-01-03,Bargain_Hunter
674,34,M,2023-07-28,Occasional
675,18,F,2023-09-02,Occasional
676,28,F,2023-06-14,Regular
677,23,M,2023-02-15,Occasional
678,66,M,2023-10-01,Occasional
679,54,M,2023-03-31,Regular
680,59,M,2023-01-19,Bargain_Hunter
681,50,F,2023-09-11,Regular
682,23,F,2023-01-20,High_Value
683,32,M,2023-06-21,Regular
684,47,F,2023-03-10,Bargain_Hunter
685,21,F,2023-05-20,Regular
686,50,M,2023-06-19,Regular
687,36,F,2023-11-28,Regular
688,34,M,2023-01-08,Occasional
689,50,F,2023-10-18,Occasional
690,46,M,2023-03-31,Occasional
691,34,F,2023-08-07,Occasional
692,57,M,2023-07-25,Occasional
693,23,M,2023-03-13,Regular
694,49,M,2023-01-04,Regular
695,48,M,2023-08-17,Occasional
696,35,F,2023-06-04,Occasional
697,44,M,2023-05-14,Occasional
698,21,M,2023-02-01,Occasional
699,53,F,2023-06-07,Regular
700,37,F,2023-12-20,High_Value
701,32,F,2023-07-08,Occasional
702,55,M,2023-03-10,Regular
703,29,F,2023-11-07,Regular
704,18,F,2023-10-03,Occasional
705,18,M,2023-05-07,Occasional
706,49,M,2023-09-27,Regular
707,20,F,2023-02-09,Bargain_Hunter
708,66,M,2023-02-01,Occasional
709,18,M,2023-10-21,Occasional
710,65,M,2023-06-17,Bargain_Hunter
711,43,F,2023-03-01,Occasional
712,38,F,2023-02-16,Bargain_Hunter
713,31,F,2023-01-29,Regular
714,45,F,2023-08-22,Occasional
715,39,F,2023-12-11,Occasional
716,56,M,2023-07-22,Regular
717,41,M,2023-04-22,Occasional
718,42,M,2023-08-05,Regular
719,34,M,2023-10-05,Bargain_Hunter
720,39,M,2023-08-30,High_Value
721,44,F,2023-04-03,Occasional
722,18,F,2023-07-11,Bargain_Hunter
723,19,F,2023-08-18,Bargain_Hunter
724,51,F,2023-07-12,High_Value
725,42,M,2023-12-01,Bargain_Hunter
726,37,M,2023-04-02,Bargain_Hunter
727,40,F,2023-09-28,High_Value
728,45,M,2023-01-02,Occasional
729,31,F,2023-08-26,Occasional
730,28,F,2023-09-30,Regular
731,42,M,2023-05-07,Regular
732,25,M,2023-05-22,Regular
733,46,M,2023-01-17,Occasional
734,18,F,2023-11-11,Occasional
735,55,M,2023-05-04,Regular
736,47,M,2023-11-01,High_Value
737,43,M,2023-05-06,Occasional
738,54,F,2023-08-13,Regular
739,64,M,2023-01-29,High_Value
740,55,F,2023-04-30,Occasional
741,18,F,2023-10-23,Occasional
742,20,F,2023-05-02,Regular
743,30,M,2023-12-05,Occasional
744,40,F,2023-06-03,Regular
745,47,M,2023-11-17,Occasional
746,29,F,2023-01-25,Bargain_Hunter
747,42,F,2023-09-26,Regular
748,28,F,2023-07-29,High_Value
749,30,F,2023-04-05,Occasional
750,18,F,2023-05-04,Occasional
751,26,F,2023-12-29,High_Value
752,19,F,2023-01-30,Occasional
753,25,F,2023-10-13,Occasional
754,55,F,2023-05-05,Regular
755,25,F,2023-11-28,High_Value
756,79,F,2023-07-09,High_Value
757,47,M,2023-01-27,Regular
758,42,M,2023-02-07,Regular
759,27,M,2023-09-03,Regular
760,50,F,2023-06-05,Bargain_Hunter
