customer_id,recency,frequency,monetary_total,monetary_avg,age,gender,behavior_type,cluster,segment_name,segment_description,segment_strategy,test_group,campaign_version,clicked,converted,purchase_amount,revenue_per_customer,customer_lifetime_value,engagement_score
18,74,4,148.87,37.22,44,F,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,372.175,23.8
19,28,8,732.72,91.59,26,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,1831.8000000000002,38.3
20,16,5,384.03,76.81,18,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,960.0749999999999,30.8
21,24,4,295.91,73.98,61,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,739.7750000000001,27.9
22,83,4,249.15,62.29,36,M,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,622.875,24.2
23,57,4,374.66,93.66,41,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,1,0,0.0,0.0,936.6500000000001,26.9
24,33,4,197.1,49.28,18,F,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,492.75,26.5
25,8,5,386.57,77.31,31,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,966.425,31.3
26,38,2,111.2,55.6,41,M,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,278.0,22.2
27,69,5,451.37,90.27,22,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,1128.425,28.5
28,115,2,69.7,34.85,45,M,Bargain_Hunter,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,B,Targeted,0,0,0.0,0.0,174.25,17.6
29,9,2,117.08,58.54,30,F,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,292.7,23.8
30,24,12,819.34,68.28,35,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,2048.35,45.7
31,126,6,519.57,86.59,30,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,1298.9250000000002,27.7
32,133,3,173.72,57.91,67,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,434.3,19.2
33,87,3,282.88,94.29,39,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,707.2,22.7
34,36,10,833.57,83.36,24,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,2083.925,42.0
35,46,6,610.57,101.76,52,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,1526.4250000000002,32.9
36,83,3,180.49,60.16,21,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,451.225,22.0
37,56,3,246.97,82.32,43,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,617.425,24.1
38,222,3,218.96,72.99,18,F,Regular,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,B,Targeted,1,0,0.0,0.0,547.4,14.7
39,138,1,60.94,60.94,20,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,B,Targeted,0,0,0.0,0.0,152.35,14.6
40,16,11,914.17,83.11,42,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,1,0,0.0,0.0,2285.4249999999997,45.5
41,12,9,762.13,84.68,51,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,1905.325,41.0
42,13,7,294.37,42.05,42,M,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,735.925,33.3
43,9,8,307.59,38.45,38,M,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,1,0,0.0,0.0,768.9749999999999,35.2
44,321,1,29.69,29.69,35,F,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,B,Targeted,0,0,0.0,0.0,74.22500000000001,4.3
45,46,9,701.95,77.99,18,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,1754.875,38.6
46,22,3,84.37,28.12,29,M,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,210.925,24.4
47,44,5,330.9,66.18,33,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,827.25,28.8
48,69,5,171.38,34.28,55,M,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,428.45,25.9
49,71,12,1859.03,154.92,45,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,B,Targeted,0,0,0.0,0.0,4647.575,53.1
50,167,5,306.31,61.26,18,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,A,Generic,0,0,0.0,0.0,765.775,21.8
51,8,6,380.4,63.4,44,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,951.0,32.8
52,18,7,584.3,83.47,34,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,1460.75,35.8
53,140,4,332.25,83.06,29,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,A,Generic,0,0,0.0,0.0,830.625,21.9
54,63,5,160.91,32.18,49,F,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,402.275,26.1
55,3,10,882.68,88.27,55,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,2206.7,44.3
56,89,7,199.87,28.55,53,F,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,499.675,28.2
57,14,8,588.3,73.54,27,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,1470.75,37.7
58,24,15,2058.3,137.22,35,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,A,Generic,0,0,0.0,0.0,5145.75,62.4
59,24,7,612.14,87.45,44,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,1530.35,35.7
60,144,4,209.73,52.43,54,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,A,Generic,0,0,0.0,0.0,524.3249999999999,20.5
61,22,4,164.03,41.01,32,M,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,410.075,26.8
62,179,3,169.01,56.34,37,F,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,A,Generic,0,0,0.0,0.0,422.525,16.6
63,14,12,949.8,79.15,23,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,2374.5,47.5
64,144,6,378.91,63.15,22,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,A,Generic,0,0,0.0,0.0,947.2750000000001,25.3
65,240,1,84.04,84.04,52,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,A,Generic,0,0,0.0,0.0,210.10000000000002,9.3
66,9,10,1473.32,147.33,60,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,B,Targeted,0,0,0.0,0.0,3683.2999999999997,49.6
67,9,8,578.3,72.29,38,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,1445.75,37.8
68,73,6,376.99,62.83,55,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,942.475,29.2
69,71,8,594.74,74.34,45,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,1486.85,34.6
70,11,7,587.26,83.89,30,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,1468.15,36.2
71,15,9,695.68,77.3,45,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,1739.1999999999998,40.2
72,55,4,234.34,58.58,63,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,585.85,25.6
73,112,3,239.44,79.81,39,M,Regular,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,A,Generic,0,0,0.0,0.0,598.6,21.0
74,19,5,335.49,67.1,63,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,838.725,30.2
75,178,2,59.98,29.99,18,M,Bargain_Hunter,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,B,Targeted,1,1,35.17,35.17,149.95,14.0
76,18,12,898.11,74.84,52,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,2245.275,46.8
77,90,3,133.52,44.51,41,F,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,333.8,21.1
78,36,7,617.87,88.27,35,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,1544.675,35.1
79,58,4,120.19,30.05,41,F,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,300.475,24.4
80,66,6,458.35,76.39,18,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,1145.875,30.4
81,12,6,528.32,88.05,36,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,1320.8000000000002,34.0
82,36,2,96.1,48.05,45,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,240.25,22.1
83,16,21,3003.75,143.04,62,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,B,Targeted,0,0,0.0,0.0,7509.375,81.5
84,36,3,141.55,47.18,32,F,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,353.875,24.2
85,56,6,179.71,29.95,27,M,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,449.27500000000003,28.3
86,4,15,2224.18,148.28,32,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,B,Targeted,0,0,0.0,0.0,5560.45,65.1
87,237,2,53.37,26.68,53,M,Bargain_Hunter,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,B,Targeted,0,0,0.0,0.0,133.42499999999998,10.7
88,77,4,119.01,29.75,44,F,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,297.52500000000003,23.3
89,3,4,254.07,63.52,32,M,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,635.175,28.7
90,139,2,100.51,50.26,47,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,B,Targeted,0,0,0.0,0.0,251.275,16.5
91,25,11,781.34,71.03,41,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,1953.3500000000001,43.7
92,122,5,365.49,73.1,54,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,913.725,24.8
93,120,1,29.9,29.9,29,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,B,Targeted,0,0,0.0,0.0,74.75,15.3
94,31,7,213.82,30.55,35,F,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,534.55,31.5
95,95,9,717.5,79.72,34,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,1793.75,36.1
96,38,6,350.76,58.46,18,M,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,876.9,30.9
97,39,5,219.36,43.87,44,F,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,1,0,0.0,0.0,548.4000000000001,28.0
98,41,5,478.05,95.61,43,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,1195.125,30.3
99,154,2,111.19,55.6,40,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,A,Generic,0,0,0.0,0.0,277.975,15.8
100,146,2,75.37,37.68,36,F,Bargain_Hunter,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,B,Targeted,0,0,0.0,0.0,188.425,15.9
101,271,1,66.57,66.57,18,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,A,Generic,0,0,0.0,0.0,166.42499999999998,7.4
102,21,23,3507.95,152.52,33,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,A,Generic,0,0,0.0,0.0,8769.875,89.2
103,13,8,1277.8,159.72,34,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,A,Generic,0,0,0.0,0.0,3194.5,44.3
104,41,12,985.73,82.14,27,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,1,0,0.0,0.0,2464.325,46.4
105,55,5,478.48,95.7,37,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,1196.2,29.6
106,16,6,447.5,74.58,46,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,1,0,0.0,0.0,1118.75,33.0
107,103,4,279.43,69.86,68,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,698.575,23.4
108,50,5,287.63,57.53,42,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,719.075,28.0
109,17,16,2306.25,144.14,43,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,A,Generic,0,0,0.0,0.0,5765.625,66.7
110,35,6,206.44,34.41,38,M,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,516.1,29.7
111,319,1,62.33,62.33,18,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,B,Targeted,0,0,0.0,0.0,155.825,4.7
112,14,13,1884.21,144.94,39,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,A,Generic,0,0,0.0,0.0,4710.525,58.1
113,303,3,94.33,31.44,40,M,Bargain_Hunter,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,A,Generic,0,0,0.0,0.0,235.825,9.1
114,118,4,324.04,81.01,76,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,810.1,23.0
115,8,22,3294.97,149.77,37,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,B,Targeted,1,0,0.0,0.0,8237.425,86.3
116,244,3,90.73,30.24,44,F,Bargain_Hunter,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,B,Targeted,0,0,0.0,0.0,226.82500000000002,12.3
117,8,11,998.07,90.73,39,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,1,0,0.0,0.0,2495.175,46.7
118,77,15,2215.14,147.68,22,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,B,Targeted,0,0,0.0,0.0,5537.849999999999,61.0
119,91,4,256.09,64.02,57,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,640.2249999999999,23.9
120,51,6,238.42,39.74,51,M,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,596.05,29.1
121,21,18,2559.9,142.22,51,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,B,Targeted,0,0,0.0,0.0,6399.75,72.1
122,28,6,443.77,73.96,26,F,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,1109.425,32.3
123,37,5,383.1,76.62,61,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,957.75,29.6
124,12,8,242.78,30.35,18,M,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,606.95,34.5
125,23,12,1042.82,86.9,48,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,2607.0499999999997,47.9
126,41,6,467.22,77.87,72,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,1168.0500000000002,31.8
127,29,10,1438.82,143.88,25,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,B,Targeted,0,0,0.0,0.0,3597.0499999999997,48.2
128,209,5,376.59,75.32,31,M,Regular,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,A,Generic,0,0,0.0,0.0,941.4749999999999,20.2
129,5,10,851.02,85.1,41,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,2127.55,43.9
130,40,2,52.89,26.44,32,F,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,132.225,21.5
131,15,13,1884.24,144.94,18,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,A,Generic,0,0,0.0,0.0,4710.6,58.0
132,95,4,234.15,58.54,41,F,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,585.375,23.4
133,12,22,3008.85,136.77,24,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,A,Generic,0,0,0.0,0.0,7522.125,83.3
134,95,4,247.51,61.88,47,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,1,0,0.0,0.0,618.775,23.6
135,220,1,37.52,37.52,26,F,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,A,Generic,1,1,46.43,46.43,93.80000000000001,9.9
136,31,4,155.89,38.97,63,M,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,389.72499999999997,26.2
137,27,17,2485.31,146.19,28,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,A,Generic,0,0,0.0,0.0,6213.275,69.5
138,65,2,106.85,53.42,35,F,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,1,1,58.36,58.36,267.125,20.7
139,32,5,367.73,73.55,52,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,919.325,29.8
140,14,12,857.55,71.46,21,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,2143.875,46.6
141,265,3,212.55,70.85,43,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,B,Targeted,0,0,0.0,0.0,531.375,12.3
142,40,9,786.52,87.39,59,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,1966.3,39.7
143,7,20,2999.1,149.95,18,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,B,Targeted,1,0,0.0,0.0,7497.75,80.3
144,38,5,204.11,40.82,42,F,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,510.27500000000003,27.9
145,6,4,227.1,56.78,43,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,567.75,28.2
146,40,5,288.25,57.65,51,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,720.625,28.6
147,34,3,139.43,46.48,21,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,348.57500000000005,24.3
148,3,9,690.49,76.72,20,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,1726.225,40.8
149,28,7,507.03,72.43,47,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,1267.5749999999998,34.5
150,49,23,3479.25,151.27,44,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,B,Targeted,0,0,0.0,0.0,8698.125,87.4
151,336,1,59.34,59.34,43,F,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,A,Generic,0,0,0.0,0.0,148.35000000000002,3.8
152,26,7,635.72,90.82,45,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,1589.3000000000002,35.9
153,55,9,1507.91,167.55,29,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,B,Targeted,0,0,0.0,0.0,3769.775,45.8
154,200,3,204.9,68.3,43,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,B,Targeted,0,0,0.0,0.0,512.25,15.8
155,62,8,719.63,89.95,44,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,1799.075,36.3
156,64,5,370.89,74.18,29,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,927.2249999999999,28.0
157,18,13,2349.52,180.73,67,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,A,Generic,0,0,0.0,0.0,5873.8,62.3
158,10,4,244.18,61.04,47,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,610.45,28.2
