customer_id,recency,frequency,monetary_total,monetary_avg,age,gender,behavior_type,cluster,segment_name,segment_description,segment_strategy
76,18,12,898.11,74.84,52,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
77,90,3,133.52,44.51,41,F,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
78,36,7,617.87,88.27,35,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
79,58,4,120.19,30.05,41,F,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
80,66,6,458.35,76.39,18,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
81,12,6,528.32,88.05,36,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
82,36,2,96.1,48.05,45,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
83,16,21,3003.75,143.04,62,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
84,36,3,141.55,47.18,32,F,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
85,56,6,179.71,29.95,27,M,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
86,4,15,2224.18,148.28,32,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
87,237,2,53.37,26.68,53,M,Bargain_Hunter,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
88,77,4,119.01,29.75,44,F,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
89,3,4,254.07,63.52,32,M,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
90,139,2,100.51,50.26,47,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
91,25,11,781.34,71.03,41,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
92,122,5,365.49,73.1,54,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
93,120,1,29.9,29.9,29,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
94,31,7,213.82,30.55,35,F,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
95,95,9,717.5,79.72,34,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
96,38,6,350.76,58.46,18,M,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
97,39,5,219.36,43.87,44,F,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
98,41,5,478.05,95.61,43,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
99,154,2,111.19,55.6,40,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
100,146,2,75.37,37.68,36,F,Bargain_Hunter,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
101,271,1,66.57,66.57,18,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
102,21,23,3507.95,152.52,33,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
103,13,8,1277.8,159.72,34,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
104,41,12,985.73,82.14,27,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
105,55,5,478.48,95.7,37,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
106,16,6,447.5,74.58,46,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
107,103,4,279.43,69.86,68,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
108,50,5,287.63,57.53,42,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
109,17,16,2306.25,144.14,43,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
110,35,6,206.44,34.41,38,M,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
111,319,1,62.33,62.33,18,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
112,14,13,1884.21,144.94,39,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
113,303,3,94.33,31.44,40,M,Bargain_Hunter,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
114,118,4,324.04,81.01,76,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
115,8,22,3294.97,149.77,37,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
116,244,3,90.73,30.24,44,F,Bargain_Hunter,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
117,8,11,998.07,90.73,39,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
118,77,15,2215.14,147.68,22,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
119,91,4,256.09,64.02,57,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
120,51,6,238.42,39.74,51,M,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
121,21,18,2559.9,142.22,51,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
122,28,6,443.77,73.96,26,F,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
123,37,5,383.1,76.62,61,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
124,12,8,242.78,30.35,18,M,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
125,23,12,1042.82,86.9,48,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
126,41,6,467.22,77.87,72,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
127,29,10,1438.82,143.88,25,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
128,209,5,376.59,75.32,31,M,Regular,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
129,5,10,851.02,85.1,41,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
130,40,2,52.89,26.44,32,F,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
131,15,13,1884.24,144.94,18,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
132,95,4,234.15,58.54,41,F,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
133,12,22,3008.85,136.77,24,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
134,95,4,247.51,61.88,47,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
135,220,1,37.52,37.52,26,F,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
136,31,4,155.89,38.97,63,M,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
137,27,17,2485.31,146.19,28,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
138,65,2,106.85,53.42,35,F,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
139,32,5,367.73,73.55,52,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
140,14,12,857.55,71.46,21,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
141,265,3,212.55,70.85,43,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
142,40,9,786.52,87.39,59,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
143,7,20,2999.1,149.95,18,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
144,38,5,204.11,40.82,42,F,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
145,6,4,227.1,56.78,43,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
146,40,5,288.25,57.65,51,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
147,34,3,139.43,46.48,21,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
148,3,9,690.49,76.72,20,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
149,28,7,507.03,72.43,47,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
150,49,23,3479.25,151.27,44,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
151,336,1,59.34,59.34,43,F,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
152,26,7,635.72,90.82,45,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
153,55,9,1507.91,167.55,29,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
154,200,3,204.9,68.3,43,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
155,62,8,719.63,89.95,44,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
156,64,5,370.89,74.18,29,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
157,18,13,2349.52,180.73,67,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
158,10,4,244.18,61.04,47,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
159,51,5,373.22,74.64,22,M,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
160,227,1,50.85,50.85,49,F,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
161,11,19,2908.24,153.07,25,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
162,145,2,96.32,48.16,51,F,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
163,19,2,88.13,44.06,57,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
164,82,4,258.38,64.6,27,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
165,131,6,585.1,97.52,54,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
166,9,8,611.88,76.48,46,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
167,175,3,214.36,71.45,52,F,Regular,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
168,90,1,51.1,51.1,68,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
169,18,5,429.76,85.95,36,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
170,106,11,893.26,81.21,28,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
171,69,9,724.39,80.49,26,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
172,79,8,652.93,81.62,27,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
173,63,4,309.11,77.28,38,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
174,4,4,195.76,48.94,45,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
175,66,8,329.63,41.2,44,F,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
176,15,11,951.58,86.51,52,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
177,37,5,368.59,73.72,40,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
178,7,4,187.35,46.84,61,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
179,21,3,287.83,95.94,36,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
180,15,23,3817.27,165.97,80,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
181,38,2,135.85,67.92,49,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
182,9,5,340.89,68.18,27,F,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
183,104,3,161.01,53.67,23,M,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
184,62,1,87.63,87.63,47,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
185,37,2,159.14,79.57,36,M,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
186,7,7,465.11,66.44,50,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
187,73,4,315.43,78.86,47,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
188,166,6,437.15,72.86,38,F,Regular,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
189,158,3,164.27,54.76,27,F,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
190,55,1,93.39,93.39,18,F,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
191,16,5,334.69,66.94,33,F,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
192,37,5,445.32,89.06,52,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
193,2,20,2927.78,146.39,43,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
194,21,9,873.76,97.08,21,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
195,57,4,297.24,74.31,42,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
196,50,2,124.07,62.04,45,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
197,106,2,125.08,62.54,26,M,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
198,68,3,128.11,42.7,42,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
199,53,5,162.59,32.52,40,M,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
200,2,19,2972.87,156.47,22,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
201,59,6,435.51,72.58,45,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
202,71,4,98.82,24.7,48,F,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
203,5,3,153.7,51.23,56,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
204,30,4,238.15,59.54,55,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
205,298,1,24.66,24.66,19,F,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
206,156,5,313.79,62.76,25,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
207,91,4,304.51,76.13,47,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
208,3,1,32.87,32.87,47,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
209,8,1,77.85,77.85,47,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
210,32,8,529.49,66.19,80,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
211,130,4,127.42,31.86,48,F,Bargain_Hunter,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
212,1,9,780.5,86.72,57,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
213,121,5,188.7,37.74,54,M,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
214,9,4,272.26,68.06,49,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
215,28,9,697.93,77.55,35,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
216,31,7,219.19,31.31,51,F,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
217,283,2,43.62,21.81,28,M,Bargain_Hunter,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
218,14,5,349.54,69.91,36,M,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
219,2,18,2541.27,141.18,32,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
220,30,11,914.1,83.1,41,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
221,58,4,438.4,109.6,74,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
222,16,8,1156.7,144.59,18,F,High_Value,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
223,2,11,851.94,77.45,50,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
224,23,5,354.75,70.95,18,F,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
225,25,12,906.37,75.53,32,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
226,191,1,85.92,85.92,56,F,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
227,25,10,811.32,81.13,40,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
228,108,3,188.38,62.79,23,M,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
229,172,1,34.27,34.27,29,F,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
230,36,6,237.7,39.62,50,F,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
231,153,4,302.83,75.71,29,F,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
232,100,7,518.61,74.09,43,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
233,30,9,736.28,81.81,40,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
234,54,8,684.15,85.52,30,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
235,67,1,75.66,75.66,72,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
236,146,4,316.73,79.18,49,F,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
